Postcode,Fleet1,Fleet2,Fleet3,Fleet4,Fleet5,Fleet6,Fleet7,Fleet8,Fleet9
1,0.9259999999999999,0.818,0.907,0.9009999999999999,0.6,0.907,1.0,0.907,0.907
2,0.968,0.92,1.0,0.907,0.76,0.802,0.9079999999999999,0.9079999999999999,0.9079999999999999
3,0.972,0.897,0.883,1.0,0.667,0.883,1.0,0.883,0.883
4,0.938,0.841,1.0,0.925,0.903,0.925,0.915,0.925,0.925
5,0.9470000000000001,0.872,1.0,0.9279999999999999,0.625,0.779,0.5,0.945,0.945
6,0.963,0.9420000000000001,1.0,1.0,0.857,0.867,1.0,0.948,0.948
7,0.94,0.9179999999999999,0.9640000000000001,0.9740000000000001,0.75,0.9640000000000001,0.978,0.9640000000000001,0.9640000000000001
8,0.975,0.7120000000000001,1.0,1.0,0.845,0.9259999999999999,0.941,0.9259999999999999,0.9259999999999999
9,0.932,0.9009999999999999,1.0,0.968,0.833,0.945,0.945,0.945,0.945
10,0.972,0.9279999999999999,0.956,0.9259999999999999,1.0,0.915,0.956,0.956,0.956
11,1.0,0.8809999999999999,0.934,0.934,1.0,0.934,0.9490000000000001,0.934,0.934
12,1.0,0.9640000000000001,0.985,0.985,0.985,0.985,0.985,0.985,0.985
13,0.9790000000000001,0.8909999999999999,1.0,0.965,0.9590000000000001,0.965,0.9670000000000001,0.965,0.965
14,0.956,0.943,0.982,0.976,1.0,0.976,0.988,0.976,0.976
15,1.0,0.903,0.857,0.9390000000000001,0.948,0.9390000000000001,0.971,0.9390000000000001,0.9390000000000001
16,0.968,0.929,0.973,0.977,0.9790000000000001,0.977,0.992,0.977,0.977
17,1.0,0.895,1.0,0.993,1.0,0.993,1.0,0.993,0.993
18,0.9740000000000001,0.965,0.9440000000000001,0.971,1.0,0.971,0.986,0.971,0.971
19,1.0,0.9440000000000001,1.0,0.986,1.0,0.986,0.992,0.986,0.986
20,0.9790000000000001,0.909,1.0,0.985,1.0,0.985,0.988,0.985,0.985
21,1.0,0.87,0.983,0.983,1.0,0.983,0.9740000000000001,0.983,0.983
22,0.992,0.885,0.943,0.965,0.943,0.965,0.993,0.965,0.965
23,0.9520000000000001,1.0,0.97,0.97,0.9359999999999999,0.97,0.97,0.97,0.97
24,0.905,0.9159999999999999,1.0,0.907,0.8909999999999999,0.9570000000000001,0.9470000000000001,0.94,0.94
25,0.887,0.9570000000000001,1.0,0.973,0.941,1.0,0.9,0.961,0.961
26,0.951,0.8370000000000001,1.0,1.0,0.9309999999999999,0.929,0.955,0.965,0.965
27,0.91,0.9329999999999999,1.0,0.706,0.722,1.0,0.922,0.9540000000000001,0.9540000000000001
28,0.9259999999999999,0.932,1.0,0.85,0.972,1.0,1.0,0.96,0.96
29,1.0,0.821,1.0,0.915,0.9229999999999999,0.915,0.948,0.915,0.915
30,0.87,0.924,1.0,0.848,0.9129999999999999,1.0,0.927,0.9490000000000001,0.9490000000000001
31,0.892,0.938,1.0,0.9229999999999999,0.862,1.0,0.9470000000000001,0.956,0.956
32,0.841,0.9,1.0,0.9790000000000001,0.946,1.0,0.894,0.966,0.966
33,1.0,0.8440000000000001,1.0,0.9359999999999999,0.875,0.9359999999999999,0.96,0.9359999999999999,0.9359999999999999
34,0.85,0.7,1.0,0.9590000000000001,0.9329999999999999,1.0,0.9470000000000001,0.9570000000000001,0.9570000000000001
35,0.971,0.96,0.727,0.971,0.93,0.971,1.0,0.971,0.971
36,0.9690000000000001,0.948,1.0,1.0,0.963,0.96,0.977,0.977,0.977
37,0.972,0.973,0.978,1.0,0.96,0.9690000000000001,0.988,0.978,0.978
38,0.975,0.985,1.0,1.0,0.9640000000000001,0.9390000000000001,0.9740000000000001,0.975,0.975
39,0.956,0.956,0.9259999999999999,0.9259999999999999,0.867,0.9259999999999999,0.9259999999999999,0.9259999999999999,0.9259999999999999
40,0.925,0.914,0.909,0.909,0.9,0.909,0.909,0.909,0.909
41,0.968,0.972,1.0,0.958,0.91,0.991,0.97,0.958,0.958
42,0.973,0.9640000000000001,1.0,0.9670000000000001,0.946,0.9670000000000001,0.9790000000000001,0.9670000000000001,0.9670000000000001
43,1.0,0.833,0.938,0.938,0.889,0.938,0.956,0.938,0.938
44,0.9229999999999999,0.9329999999999999,0.865,0.865,0.7140000000000001,0.865,0.865,0.865,0.865
45,0.98,1.0,0.993,0.993,1.0,0.993,0.993,0.993,0.993
46,0.9570000000000001,0.9570000000000001,0.9,0.5,0.9359999999999999,0.863,0.963,0.863,0.863
47,0.972,0.975,0.948,0.968,0.9570000000000001,0.968,0.968,0.968,0.968
48,0.9520000000000001,0.937,0.95,1.0,0.917,0.95,0.9440000000000001,0.95,0.95
49,0.955,0.987,0.975,0.975,0.971,0.94,0.972,0.975,0.975
50,0.857,0.905,0.945,0.75,1.0,0.888,1.0,0.9420000000000001,0.9420000000000001
51,0.97,0.976,0.971,0.971,0.927,0.9440000000000001,0.982,0.971,0.971
52,0.907,0.938,0.8390000000000001,1.0,0.955,0.945,0.904,0.9109999999999999,0.9109999999999999
53,0.9670000000000001,0.993,1.0,1.0,0.9620000000000001,0.95,0.982,0.98,0.98
54,0.833,0.9740000000000001,0.97,0.972,1.0,1.0,0.996,0.972,0.972
55,0.977,0.887,0.9470000000000001,0.953,1.0,0.8859999999999999,0.9840000000000001,0.953,0.953
56,1.0,0.976,0.951,0.951,0.813,0.951,1.0,0.951,0.951
57,0.871,0.912,0.941,0.894,0.8690000000000001,0.898,0.958,0.953,0.953
